epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,137.801,0.52223,0.47598,0.88215,0.93321,0.93409,0.96841,0.8693,0.50125,0.4015,0.88528,0.000336835,0.000336835,0.000336835
32,142.133,0.55517,0.49203,0.91257,0.91161,0.91759,0.95122,0.84885,0.53091,0.45856,0.89964,0.000325829,0.000325829,0.000325829
33,145.977,0.50831,0.4005,0.88538,0.91885,0.9453,0.96909,0.86304,0.51062,0.4069,0.88804,0.000314824,0.000314824,0.000314824
34,149.453,0.52354,0.41089,0.89934,0.86309,0.96885,0.97288,0.85503,0.5147,0.40592,0.88355,0.000303818,0.000303818,0.000303818
35,152.873,0.49825,0.39488,0.86941,0.90313,0.95031,0.96379,0.85767,0.50638,0.43962,0.87491,0.000292813,0.000292813,0.000292813
36,157.216,0.45356,0.36492,0.87356,0.92411,0.96212,0.96386,0.86054,0.51153,0.41492,0.87639,0.000281807,0.000281807,0.000281807
37,160.563,0.46941,0.36804,0.88438,0.9468,0.94076,0.96091,0.85112,0.54413,0.4096,0.89002,0.000270802,0.000270802,0.000270802
38,164.044,0.47875,0.38175,0.89059,0.94714,0.95741,0.97295,0.86229,0.52543,0.38458,0.88691,0.000259796,0.000259796,0.000259796
39,168.279,0.46142,0.39753,0.89295,0.95593,0.95992,0.98045,0.878,0.52311,0.36899,0.87886,0.000248791,0.000248791,0.000248791
40,172.002,0.45543,0.3515,0.86406,0.95044,0.96702,0.97295,0.86916,0.52531,0.37352,0.88197,0.000237785,0.000237785,0.000237785
41,175.478,0.47366,0.36896,0.90393,0.95353,0.97924,0.97295,0.87788,0.51115,0.36102,0.87851,0.00022678,0.00022678,0.00022678
42,178.947,0.48379,0.37746,0.91717,0.95738,0.98087,0.96545,0.86455,0.50758,0.36427,0.87622,0.000215774,0.000215774,0.000215774
43,183.686,0.44194,0.34473,0.87371,0.95489,0.9795,0.9652,0.86975,0.48613,0.37102,0.87206,0.000204769,0.000204769,0.000204769
44,187.179,0.44032,0.33251,0.86397,0.95092,0.98018,0.9652,0.88153,0.47702,0.38399,0.86824,0.000193763,0.000193763,0.000193763
45,190.61,0.44777,0.34995,0.86634,0.94257,0.97912,0.9652,0.87037,0.48245,0.38091,0.87022,0.000182758,0.000182758,0.000182758
46,194.957,0.43057,0.35199,0.88053,0.95201,0.95799,0.9652,0.87269,0.47963,0.36191,0.86995,0.000171752,0.000171752,0.000171752
47,198.579,0.4687,0.3554,0.88909,0.95634,0.9672,0.97295,0.87697,0.49195,0.34183,0.87133,0.000160747,0.000160747,0.000160747
48,202.197,0.4398,0.33162,0.87599,0.95773,0.97216,0.97295,0.86932,0.49193,0.34857,0.87418,0.000149741,0.000149741,0.000149741
49,205.904,0.38402,0.50293,0.78958,0.95913,0.96907,0.97295,0.86788,0.48741,0.34445,0.87426,0.000138736,0.000138736,0.000138736
50,210.065,0.46102,0.372,0.88359,0.95576,0.96861,0.96545,0.86937,0.50126,0.36146,0.8741,0.000127731,0.000127731,0.000127731
51,215.695,0.35478,0.27046,0.80663,0.95555,0.96928,0.96545,0.87051,0.50405,0.35409,0.87366,0.000116725,0.000116725,0.000116725
52,220.175,0.37676,0.44412,0.83595,0.95026,0.97026,0.96545,0.8647,0.48776,0.35143,0.86987,0.00010572,0.00010572,0.00010572
53,223.883,0.35412,0.2973,0.80539,0.95245,0.96862,0.97295,0.8747,0.48767,0.35176,0.86659,9.4714e-05,9.4714e-05,9.4714e-05
54,227.369,0.35684,0.31648,0.82687,0.95689,0.9672,0.97295,0.8789,0.49226,0.35164,0.867,8.37085e-05,8.37085e-05,8.37085e-05
55,230.761,0.39955,0.32375,0.83575,0.95601,0.96745,0.98045,0.88279,0.48807,0.34693,0.86468,7.2703e-05,7.2703e-05,7.2703e-05
56,235.284,0.33583,0.25131,0.80771,0.95577,0.97003,0.98045,0.88655,0.48349,0.35265,0.86385,6.16975e-05,6.16975e-05,6.16975e-05
57,238.879,0.32814,0.26812,0.79601,0.95384,0.9698,0.98045,0.88236,0.48386,0.3482,0.86435,5.0692e-05,5.0692e-05,5.0692e-05
58,242.348,0.34602,0.28652,0.81406,0.95772,0.97035,0.98045,0.889,0.48182,0.34051,0.86471,3.96865e-05,3.96865e-05,3.96865e-05
59,246.205,0.34407,0.2556,0.838,0.95902,0.97031,0.97295,0.8824,0.48072,0.34334,0.86506,2.8681e-05,2.8681e-05,2.8681e-05
60,250.068,0.31501,0.24028,0.80367,0.96089,0.97105,0.97295,0.88726,0.47931,0.34579,0.86549,1.76755e-05,1.76755e-05,1.76755e-05
